"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"04.01.2016 00:00:00";"2";"0";"17";"0,37";"2097152";"33345";"1,59";"0";"1";"32";"0";"0"
"04.01.2016 00:05:00";"2";"0";"15";"0,33";"2097152";"33345";"1,59";"0";"0";"32";"0";"0"
"04.01.2016 00:10:00";"2";"0";"16";"0,34";"2097152";"75288";"3,59";"0";"0";"32";"0";"0"
"04.01.2016 00:15:00";"2";"0";"15";"0,33";"2097152";"24956";"1,19";"0";"0";"32";"0";"0"
"04.01.2016 00:20:00";"2";"0";"15";"0,32";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 00:25:00";"2";"0";"15";"0,33";"2097152";"19294";"0,92";"0";"0";"32";"0";"0"
"04.01.2016 00:30:00";"2";"0";"16";"0,34";"2097152";"31877";"1,52";"0";"0";"32";"0";"0"
"04.01.2016 00:35:00";"2";"0";"15";"0,33";"2097152";"23488";"1,12";"0";"0";"32";"0";"0"
"04.01.2016 00:40:00";"2";"0";"15";"0,33";"2097152";"27682";"1,32";"0";"0";"32";"0";"0"
"04.01.2016 00:45:00";"2";"0";"15";"0,33";"2097152";"40265";"1,92";"0";"0";"32";"0";"0"
"04.01.2016 00:50:00";"2";"0";"15";"0,34";"2097152";"38797";"1,85";"0";"0";"32";"0";"0"
"04.01.2016 00:55:00";"2";"0";"15";"0,33";"2097152";"16568";"0,79";"0";"0";"32";"0";"0"
"04.01.2016 01:00:00";"2";"0";"16";"0,34";"2097152";"54316";"2,59";"0";"0";"32";"0";"0"
"04.01.2016 01:05:00";"2";"0";"15";"0,33";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 01:10:00";"2";"0";"16";"0,35";"2097152";"41733";"1,99";"0";"0";"32";"0";"0"
"04.01.2016 01:15:00";"2";"0";"15";"0,33";"2097152";"44460";"2,12";"0";"0";"32";"0";"0"
"04.01.2016 01:20:00";"2";"0";"15";"0,33";"2097152";"33345";"1,59";"0";"0";"32";"0";"0"
"04.01.2016 01:25:00";"2";"0";"15";"0,33";"2097152";"45928";"2,19";"0";"0";"32";"0";"0"
"04.01.2016 01:30:00";"2";"0";"15";"0,33";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 01:35:00";"2";"0";"15";"0,33";"2097152";"12373";"0,59";"0";"0";"32";"0";"0"
"04.01.2016 01:40:00";"2";"0";"15";"0,33";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"04.01.2016 01:45:00";"2";"0";"15";"0,33";"2097152";"31877";"1,52";"0";"0";"32";"0";"0"
"04.01.2016 01:50:00";"2";"0";"15";"0,33";"2097152";"22020";"1,05";"0";"0";"32";"0";"0"
"04.01.2016 01:55:00";"2";"0";"16";"0,34";"2097152";"54316";"2,59";"0";"0";"32";"0";"0"
"04.01.2016 02:00:00";"2";"0";"16";"0,34";"2097152";"31877";"1,52";"0";"0";"32";"0";"0"
"04.01.2016 02:05:00";"2";"0";"15";"0,33";"2097152";"34603";"1,65";"0";"0";"32";"0";"0"
"04.01.2016 02:10:00";"2";"0";"16";"0,35";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 02:15:00";"2";"0";"15";"0,33";"2097152";"23488";"1,12";"0";"0";"32";"0";"0"
"04.01.2016 02:20:00";"2";"0";"16";"0,34";"2097152";"34603";"1,65";"0";"0";"32";"0";"0"
"04.01.2016 02:25:00";"2";"0";"15";"0,33";"2097152";"3985";"0,19";"0";"0";"32";"0";"0"
"04.01.2016 02:30:00";"2";"0";"16";"0,35";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 02:35:00";"2";"0";"15";"0,33";"2097152";"15099";"0,72";"0";"0";"32";"0";"0"
"04.01.2016 02:40:00";"2";"0";"15";"0,33";"2097152";"45928";"2,19";"0";"0";"32";"0";"0"
"04.01.2016 02:45:00";"2";"0";"15";"0,33";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 02:50:00";"2";"0";"15";"0,33";"2097152";"13841";"0,66";"0";"0";"32";"0";"0"
"04.01.2016 02:55:00";"2";"0";"16";"0,33";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 03:00:00";"2";"0";"16";"0,34";"2097152";"6921";"0,33";"0";"0";"32";"0";"0"
"04.01.2016 03:05:00";"2";"0";"15";"0,33";"2097152";"19294";"0,92";"0";"0";"32";"0";"0"
"04.01.2016 03:10:00";"2";"0";"16";"0,35";"2097152";"65431";"3,12";"0";"0";"32";"0";"0"
"04.01.2016 03:15:00";"2";"0";"15";"0,33";"2097152";"37539";"1,79";"0";"0";"32";"0";"0"
"04.01.2016 03:20:00";"2";"0";"15";"0,33";"2097152";"38797";"1,85";"0";"0";"32";"0";"0"
"04.01.2016 03:25:00";"2";"0";"15";"0,33";"2097152";"27682";"1,32";"0";"0";"32";"0";"0"
"04.01.2016 03:30:00";"2";"0";"16";"0,34";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"04.01.2016 03:35:00";"2";"0";"15";"0,33";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"04.01.2016 03:40:00";"2";"0";"15";"0,33";"2097152";"29150";"1,39";"0";"0";"32";"0";"0"
"04.01.2016 03:45:00";"2";"0";"15";"0,33";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"04.01.2016 03:50:00";"2";"0";"15";"0,33";"2097152";"31877";"1,52";"0";"0";"32";"0";"0"
"04.01.2016 03:55:00";"2";"0";"20";"0,43";"2097152";"73820";"3,52";"0";"31";"32";"0";"0"
"04.01.2016 04:00:00";"2";"0";"16";"0,35";"2097152";"111568";"5,32";"0";"0";"32";"0";"0"
"04.01.2016 04:05:00";"2";"0";"16";"0,34";"2097152";"40265";"1,92";"0";"0";"32";"0";"0"
"04.01.2016 04:10:00";"2";"0";"16";"0,35";"2097152";"47186";"2,25";"0";"0";"32";"0";"0"
"04.01.2016 04:15:00";"2";"0";"16";"0,34";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 04:20:00";"2";"0";"16";"0,34";"2097152";"84935";"4,05";"0";"0";"32";"0";"0"
"04.01.2016 04:25:00";"2";"0";"16";"0,34";"2097152";"15099";"0,72";"0";"0";"32";"0";"0"
"04.01.2016 04:30:00";"2";"0";"16";"0,35";"2097152";"12373";"0,59";"0";"0";"32";"0";"0"
"04.01.2016 04:35:00";"2";"0";"16";"0,34";"2097152";"50122";"2,39";"0";"0";"32";"0";"0"
"04.01.2016 04:40:00";"2";"0";"16";"0,33";"2097152";"33345";"1,59";"0";"0";"32";"0";"0"
"04.01.2016 04:45:00";"2";"0";"16";"0,34";"2097152";"27682";"1,32";"0";"0";"32";"0";"0"
"04.01.2016 04:50:00";"2";"0";"16";"0,34";"2097152";"40265";"1,92";"0";"0";"32";"0";"0"
"04.01.2016 04:55:00";"2";"0";"16";"0,34";"2097152";"20762";"0,99";"0";"0";"32";"0";"0"
"04.01.2016 05:00:00";"2";"0";"16";"0,35";"2097152";"44460";"2,12";"0";"0";"32";"0";"0"
"04.01.2016 05:05:00";"2";"0";"16";"0,34";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 05:10:00";"2";"0";"17";"0,36";"2097152";"65431";"3,12";"0";"0";"32";"0";"0"
"04.01.2016 05:15:00";"2";"0";"16";"0,34";"2097152";"16568";"0,79";"0";"0";"32";"0";"0"
"04.01.2016 05:20:00";"2";"0";"16";"0,34";"2097152";"26214";"1,25";"0";"0";"32";"0";"0"
"04.01.2016 05:25:00";"2";"0";"16";"0,34";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 05:30:00";"2";"0";"16";"0,35";"2097152";"45928";"2,19";"0";"0";"32";"0";"0"
"04.01.2016 05:35:00";"2";"0";"16";"0,35";"2097152";"23488";"1,12";"0";"0";"32";"0";"0"
"04.01.2016 05:40:00";"2";"0";"16";"0,34";"2097152";"51380";"2,45";"0";"0";"32";"0";"0"
"04.01.2016 05:45:00";"2";"0";"16";"0,34";"2097152";"17826";"0,85";"0";"0";"32";"0";"0"
"04.01.2016 05:50:00";"2";"0";"16";"0,34";"2097152";"22020";"1,05";"0";"0";"32";"0";"0"
"04.01.2016 05:55:00";"2";"0";"16";"0,34";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 06:00:00";"2";"0";"16";"0,35";"2097152";"40265";"1,92";"0";"0";"32";"0";"0"
"04.01.2016 06:05:00";"2";"0";"16";"0,34";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 06:10:00";"2";"0";"17";"0,37";"2097152";"78014";"3,72";"0";"0";"32";"0";"0"
"04.01.2016 06:15:00";"2";"0";"16";"0,34";"2097152";"37539";"1,79";"0";"0";"32";"0";"0"
"04.01.2016 06:20:00";"2";"0";"16";"0,35";"2097152";"23488";"1,12";"0";"0";"32";"0";"0"
"04.01.2016 06:25:00";"2";"0";"16";"0,34";"2097152";"30409";"1,45";"0";"0";"32";"0";"0"
"04.01.2016 06:30:00";"2";"0";"16";"0,36";"2097152";"36071";"1,72";"0";"0";"32";"0";"0"
"04.01.2016 06:35:00";"2";"0";"16";"0,34";"2097152";"37539";"1,79";"0";"0";"32";"0";"0"
"04.01.2016 06:40:00";"2";"0";"16";"0,34";"2097152";"27682";"1,32";"0";"0";"32";"0";"0"
"04.01.2016 06:45:00";"2";"0";"16";"0,34";"2097152";"27682";"1,32";"0";"0";"32";"0";"0"
